report_id,raw_text,hazard_type,severity,agri_impact,location_text,district,state,urgency_score,source_type,timestamp
1,"rd water near Latur has mud huge water holes filled wtih water water after rain, vehicles slipping badly",pothole,high,delayed_transport,Latur,Hisar,Haryana,4,twitter,2024-08-22
2,Tree debris blocking farm road near Cotton esrvice lane. Vehicles soli stalled,blockage,medium,delayed_transport,Cotton service lane,Nadia,West Bengal,3,news,2024-08-21
3,Small bridge near Erode showing cracks; urgent fallen safety debris risk,bridge_damage,high,delayed_transport,Erode,Nadia,West Bengal,4,civic_app,2024-08-11
4,sink Hevay rain washed out rural road near Nagpur; carts stukc since dawn,flooding,high,delayed_transport,Nagpur,Mandya,Karnataka,4,civic_app,2024-08-16
5,"Fallen rtee blocking access to rEode, livestock movement paused",blockage,high,livestock_risk,Erode,Nadia,West Bengal,4,civic_app,2024-08-16
6,Tree derbis blocking frm road slide near Theni. Vehicles stalled,blockage,medium,delayed_transport,Theni,Rampur,Uttar Pradesh,3,civic_app,2024-08-04
7,The rd near Katihar is full of mud deep mud potholes. Tractors are beraking odwn daily,pothole,high,delayed_transport,Katihar,Sehore,Madhya Pradesh,4,civic_app,2024-08-08
8,Landslide debris covering drit road near Meerut,landslide,high,delayed_transport,Meerut,Hisar,Haryana,4,twitter,2024-08-12
9,"Overflowing stream eroded the road edge sink near Latur, ditr giving cracks way",flooding,high,delayed_transport,Latur,Raichur,Karnataka,4,news,2024-08-06
10,"Mudslide overflow from heavy downpour buried overflow the wet path to Barmer, everything is soaked",landslide,medium,crop_loss_risk,Barmer,Sehore,Madhya Pradesh,3,news,2024-08-06
11,"fallen Cracked sufrace on bridge to Akola with debris water seeping through, fallen looks unstable!!",bridge_damage,high,delayed_transport,Akola,Sitapur,Uttar Pradesh,4,civic_app,2024-08-22
12,"wet Mudslide from heavy wet downpour buried the path to Akola, everything is soaked",landslide,medium,crop_loss_risk,Akola,Raichur,Karnataka,3,civic_app,2024-08-21
13,Landslide debris covering dirt overflow rd near Kumargram,landslide,high,delayed_transport,Kumargram,Sitapur,Uttar Pradesh,4,news,2024-08-08
14,Bridge approaching debris Cotton service lane cracked baldy; trucks loaded with porduce are forced to paues,bridge_damage,high,delayed_transport,Cotton service lane,Sehore,Madhya Pradesh,4,twitter,2024-08-07
15,Debris from fallen branches and slide rocks blocking Nawada route after storm,blockage,medium,delayed_transport,Nawada,Mandya,Karnataka,3,civic_app,2024-08-01
16,Heavy ohles rain washed out rrual road near Katihar; carts stuck since dawn,flooding,high,delayed_transport,Katihar,Mandya,Karnataka,4,civic_app,2024-08-04
17,"debris Cracekd surface on bridge to Harvest lane with water seeping through, looks unstable",bridge_damage,high,delayed_transport,Harvest lane,Rampur,Uttar Pradesh,4,news,2024-08-20
18,"Cracked surface on bridge to Mango orchard rd with water seeping through, looks unstable...",bridge_damage,high,delayed_transport,Mango orchard rd,Sehore,Madhya Pradesh,4,news,2024-08-23
19,Tree debris blocking farm road near Nagpur. soil Vehicles stalled,blockage,medium,delayed_transport,Nagpur,Shimla,Himachal Pradesh,3,civic_app,2024-08-18
20,brdg approaching fallen Nagpur debris cracked badly; trucks loaded with fallen produce debris are forced debris to pause,bridge_damage,high,delayed_transport,Nagpur,Hisar,Haryana,4,twitter,2024-08-06
21,"Fallen tree wet blocking access to Ltaur, livestock movement paused",landslide,high,livestock_risk,Latur,Rampur,Uttar Pradesh,4,news,2024-08-23
22,Landslide has overflwo cut off mountain trail overflow to orchards near Akola,landslide,critical,crop_loss_risk,Akola,Mandya,Karnataka,5,twitter,2024-08-06
23,"Water logging on farm service road to Nawada, tractors cannot reach fields",flooding,medium,delayed_transport,Nawada,Gonda,Uttar Pradesh,3,civic_app,2024-08-01
24,"Fallen soil tree blocking access to Nawada, livestock movement paused!!",blockage,high,livestock_risk,Nawada,Sitapur,Uttar Pradesh,4,civic_app,2024-08-10
25,Debris from fallen branches and rocks blocking Meerut route after storm,blockage,medium,delayed_transport,Meerut,Gonda,Uttar Pradesh,3,twitter,2024-08-17
26,"Overflowing stream eroded the roda edge near Barmer, dirt giving way",flooding,high,delayed_transport,Barmer,Hisar,Haryana,4,twitter,2024-08-23
27,Landslide has slide cut off mountain trail slide to orchards near Mango slide orchard rd,blockage,critical,crop_loss_risk,Mango orchard rd,Hisar,Haryana,5,news,2024-08-23
28,Landslide has cut wet off mountain trali to orchards near Sunderpur,landslide,critical,crop_loss_risk,Sunderpur,Mandya,Karnataka,5,twitter,2024-08-05
29,"Cracked surface on brideg to Theni with water debris seeping debris through, looks unstable",bridge_damage,high,delayed_transport,Theni,Shimla,Himachal Pradesh,4,civic_app,2024-08-08
30,"Road near water Latur has huge slippery holes mud filled with water afetr rain, vehicles slipping badly",pothole,high,delayed_transport,Latur,Gonda,Uttar Pradesh,4,civic_app,2024-08-01
31,slippery The raod nera Cotton service lnae is full of deep potholes. Tractosr are breaking down water daiyl,pothole,high,delayed_transport,Cotton service lane,Shimla,Himachal Pradesh,4,twitter,2024-08-16
32,"Mudslide soil from heavy downpour buried the path to Mango orchard osil rd, everything is soaked",blockage,medium,crop_loss_risk,Mango orchard rd,Gonda,Uttar Pradesh,3,civic_app,2024-08-18
33,"Water logging on farm holes service road to Katihar, tractors cannot reach sink fields!!",flooding,medium,delayed_transport,Katihar,Sitapur,Uttar Pradesh,3,twitter,2024-08-19
